ParticipantName	FixationIndex	AOI[window]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[title]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	AOI[Q4]Hit	
P06	7	1	1	0	0	0	0	0	0	
P06	8	1	0	0	0	0	0	0	0	
P06	9	1	0	0	0	0	0	0	0	
P06	10	1	0	0	0	0	0	0	0	
P06	11	1	1	0	0	1	0	0	0	
P06	12	1	0	0	1	0	0	0	0	
P06	13	1	1	0	0	0	0	0	0	
P06	14	1	1	0	0	0	0	0	0	
P06	15	1	0	0	0	0	0	0	0	
P06	16	1	0	0	0	0	0	0	0	
P06	17	1	0	0	0	0	0	0	0	
P06	18	1	0	0	0	0	0	0	0	
P06	19	1	1	0	0	0	1	0	0	
P06	20	1	1	0	0	0	1	0	0	
P06	21	1	1	0	0	0	0	0	0	
P06	22	1	1	0	0	0	1	0	0	
P06	23	1	1	0	0	0	0	0	1	
P06	24	1	1	0	0	0	1	0	0	
P06	25	1	0	1	0	0	0	0	0	
P06	26	1	0	1	0	0	0	0	0	
P06	27	1	0	1	0	0	0	0	0	
P06	28	1	0	1	0	0	0	0	0	
P06	29	1	0	1	0	0	0	0	0	
P06	30	1	0	1	0	0	0	0	0	
P06	31	1	0	1	0	0	0	0	0	
P06	32	1	0	1	0	0	0	0	0	
P06	33	1	0	1	0	0	0	0	0	
P06	34	1	0	1	0	0	0	0	0	
P06	35	1	1	0	0	0	1	0	0	
P06	36	1	1	0	0	0	0	0	0	
P06	37	1	1	0	0	0	0	0	0	
P06	38	1	1	0	0	1	0	0	0	
P06	39	1	1	0	0	0	1	0	0	
P06	40	1	0	1	0	0	0	0	0	
P06	41	1	0	1	0	0	0	0	0	
P06	42	1	0	1	0	0	0	0	0	
P06	43	1	1	0	0	0	1	0	0	
P06	44	1	1	0	0	0	1	0	0	
P06	45	1	1	0	0	0	0	0	1	
P06	46	1	1	0	0	0	0	0	1	
P06	47	1	1	0	0	0	0	0	0	
P06	48	1	1	0	0	0	0	0	0	
P06	49	1	1	0	0	0	0	0	0	
P06	50	1	1	0	0	0	1	0	0	
P06	51	1	1	0	0	0	1	0	0	
P06	52	1	1	0	0	0	1	0	0	
P06	53	1	1	0	0	0	1	0	0	
P06	54	1	1	0	0	0	0	0	0	
P06	55	1	1	0	0	0	0	0	0	
P06	56	1	1	0	0	1	0	0	0	
P06	57	1	0	0	0	0	0	0	0	
P06	58	1	1	0	0	0	0	0	0	
P06	59	1	0	0	0	0	0	0	0	
P07	1	1	1	0	0	0	1	0	0	
P07	2	1	1	0	0	0	1	0	0	
P07	3	1	1	0	0	1	0	0	0	
P07	4	1	1	0	0	1	0	0	0	
P07	5	1	1	0	0	1	0	0	0	
P07	6	1	0	0	0	0	0	0	0	
P07	7	1	0	0	0	0	0	0	0	
P07	8	1	0	0	0	0	0	0	0	
P07	9	1	0	0	0	0	0	0	0	
P07	10	1	0	0	0	0	0	0	0	
P07	11	1	1	0	0	0	0	0	0	
P07	12	1	1	0	0	0	0	0	0	
