ParticipantName	LocalTimeStamp	FixationIndex	GazeEventDuration	AOI[window]Hit	AOI[title]Hit	AOI[graph]Hit	AOI[legend]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[Q1]Hit	
P02	14:12:52.862	57	377	1	0	1	0	0	0	1	
P02	14:12:53.292	58	217	1	0	0	1	0	0	0	
P02	14:12:53.529	59	70	1	0	0	1	0	0	0	
P02	14:12:53.652	60	190	1	0	1	0	0	0	1	
P02	14:12:53.858	61	157	1	0	1	0	0	0	1	
P02	14:12:54.168	62	73	1	0	1	0	0	0	1	
P02	14:12:54.262	63	1346	1	0	1	0	0	0	1	
P02	14:12:55.675	64	140	1	0	0	1	0	0	0	
P02	14:12:55.838	65	257	1	0	0	1	0	0	0	
P02	14:12:56.155	66	210	1	0	1	0	0	0	1	
P02	14:12:56.388	67	190	1	0	1	0	0	0	1	
P02	14:12:56.731	68	150	1	0	1	0	0	0	1	
P02	14:12:56.908	69	340	1	0	1	0	0	0	1	
P02	14:12:57.268	70	207	1	0	1	0	0	0	1	
P02	14:12:57.485	71	223	1	0	1	0	0	0	1	
P02	14:12:57.798	72	147	1	0	0	1	0	0	0	
P02	14:12:58.055	73	127	1	1	0	0	0	0	0	
P02	14:12:58.295	74	427	1	1	0	0	0	0	0	
P02	14:12:58.744	75	187	1	1	0	0	0	0	0	
P02	14:12:58.951	76	263	1	1	0	0	0	0	0	
P02	14:12:59.241	77	287	1	1	0	0	0	0	0	
P02	14:12:59.554	78	290	1	1	0	0	0	0	0	
P02	14:12:59.868	79	97	1	1	0	0	0	0	0	
P02	14:13:00.114	80	223	1	0	0	0	0	0	0	
P02	14:13:00.348	81	120	1	0	0	0	0	0	0	
P02	14:13:00.488	82	413	1	1	0	0	0	0	0	
P02	14:13:00.924	83	590	1	1	0	0	0	0	0	
P02	14:13:01.521	84	160	1	1	0	0	0	0	0	
P02	14:13:01.701	85	200	1	1	0	0	0	0	0	
P02	14:13:01.924	86	367	1	1	0	0	0	0	0	
P02	14:13:02.304	87	377	1	1	0	0	0	0	0	
P02	14:13:02.701	88	303	1	1	0	0	0	0	0	
P02	14:13:03.190	89	73	1	1	0	0	0	0	0	
P02	14:13:03.281	90	103	1	1	0	0	0	0	0	
P02	14:13:03.584	91	200	1	1	0	0	0	0	0	
P02	14:13:03.950	92	213	1	1	0	0	0	0	0	
P02	14:13:04.307	93	157	1	1	0	0	0	0	0	
P02	14:13:04.810	94	183	1	0	1	0	0	0	1	
P02	14:13:05.017	95	107	1	0	1	0	0	0	1	
P02	14:13:05.307	96	120	1	1	0	0	0	0	0	
P02	14:13:05.444	97	153	1	1	0	0	0	0	0	
P02	14:13:05.750	98	113	1	1	0	0	0	0	0	
P02	14:13:05.910	99	150	1	0	1	0	0	0	0	
P02	14:13:06.120	100	167	1	0	1	0	0	0	1	
P02	14:13:06.307	101	353	1	0	1	0	0	0	1	
P02	14:13:06.693	102	280	1	0	1	0	0	0	1	
P02	14:13:06.997	103	213	1	0	1	0	0	0	1	
P02	14:13:07.223	104	273	1	0	1	0	0	0	1	
P02	14:13:07.517	105	334	1	0	1	0	0	0	1	
P02	14:13:07.860	106	190	1	0	1	0	0	0	1	
P02	14:13:08.064	107	307	1	0	1	0	0	0	1	
P02	14:13:08.390	108	90	1	0	1	0	0	0	0	
P02	14:13:08.677	109	100	1	0	1	0	0	0	0	
P02	14:13:08.833	110	80	1	0	1	0	0	0	0	
P02	14:13:08.917	111	83	1	0	1	0	0	0	0	
P02	14:13:09.057	112	87	1	0	1	0	0	0	0	
P02	14:13:09.200	113	163	1	0	1	0	0	0	0	
P02	14:13:09.420	114	387	1	0	1	0	0	0	0	
P02	14:13:09.860	115	493	1	0	1	0	0	0	0	
P02	14:13:10.373	116	353	1	0	1	0	0	0	0	
P02	14:13:10.980	117	73	1	0	1	0	0	0	0	
P02	14:13:11.263	118	63	1	0	1	0	0	0	0	
P02	14:13:12.460	119	77	1	0	1	0	0	0	0	
P02	14:13:12.680	120	137	1	0	1	0	0	1	0	
P02	14:13:13.469	121	70	1	0	1	0	0	0	0	
P02	14:13:13.716	122	217	1	0	1	0	0	0	1	
P02	14:13:13.959	123	287	1	0	1	0	0	0	1	
P02	14:13:14.263	124	270	1	0	1	0	0	0	1	
P02	14:13:14.549	125	163	1	0	1	0	0	0	1	
P02	14:13:14.743	126	380	1	0	1	0	0	0	1	
P02	14:13:15.142	127	197	1	0	1	0	0	0	1	
P02	14:13:15.359	128	640	1	0	1	0	0	0	1	
P02	14:13:16.019	129	370	1	0	1	0	0	0	1	
P02	14:13:16.406	130	310	1	0	1	0	0	0	1	
P02	14:13:16.732	131	1033	1	0	1	0	0	0	1	
P02	14:13:17.782	132	187	1	0	1	0	0	0	1	
P02	14:13:17.986	133	443	1	0	1	0	0	0	1	
P02	14:13:18.445	134	220	1	0	1	0	0	0	1	
P02	14:13:18.685	135	803	1	0	1	0	0	0	1	
P02	14:13:19.679	136	1293	1	0	1	0	0	0	1	
P02	14:13:20.998	137	233	1	0	1	0	0	0	1	
P02	14:13:21.245	138	540	1	0	1	0	0	0	1	
P02	14:13:21.995	139	87	1	0	1	0	0	0	1	
P02	14:13:22.108	140	213	1	0	1	0	0	0	1	
P02	14:13:22.548	141	143	1	0	1	0	0	0	1	
P02	14:13:24.135	142	180	1	0	1	0	0	0	1	
P02	14:13:24.335	143	353	1	0	1	0	0	0	1	
P02	14:13:24.738	144	767	1	0	1	0	0	0	1	
P02	14:13:25.521	145	250	1	0	1	0	0	0	1	
P02	14:13:25.791	146	627	1	0	1	0	0	0	1	
P02	14:13:26.654	147	107	1	0	1	0	0	0	1	
P02	14:13:28.764	148	107	1	0	1	0	0	0	1	
P02	14:13:29.294	149	267	1	0	1	0	0	0	1	
P02	14:13:29.734	150	223	1	0	1	0	0	0	0	
P02	14:13:29.981	151	200	1	0	1	0	0	0	1	
P02	14:13:30.204	152	193	1	0	1	0	0	0	1	
P02	14:13:30.447	153	87	1	0	1	0	1	0	0	
P02	14:13:30.730	154	107	1	0	1	0	0	0	1	
P02	14:13:32.214	155	157	1	0	1	0	1	0	0	
P02	14:13:32.560	156	147	1	0	1	0	1	0	0	
P02	14:13:32.747	157	253	1	0	1	0	0	1	0	
P02	14:13:33.057	158	177	1	0	0	1	0	0	0	
P02	14:13:33.277	159	270	1	0	1	0	0	0	1	
P02	14:13:33.570	160	150	1	0	1	0	0	0	1	
P02	14:13:33.747	161	230	1	0	1	0	0	0	1	
P02	14:13:34.007	162	213	1	0	1	0	0	0	1	
P02	14:13:34.420	163	153	1	0	1	0	0	0	1	
P02	14:13:34.620	164	187	1	0	1	0	1	0	0	
P02	14:13:34.837	165	293	1	0	1	0	1	0	0	
P02	14:13:35.157	166	233	1	0	1	0	1	0	0	
P02	14:13:35.423	167	210	1	0	1	0	1	0	0	
P02	14:13:35.650	168	167	1	0	1	0	1	0	0	
P02	14:13:35.836	169	100	1	0	1	0	1	0	0	
P02	14:13:36.030	170	233	1	0	1	0	0	1	0	
P02	14:13:36.293	171	143	1	0	1	0	0	0	1	
P02	14:13:36.483	172	240	1	0	0	1	0	0	0	
P02	14:13:36.740	173	293	1	0	0	1	0	0	0	
P02	14:13:37.133	174	203	1	0	1	0	0	0	1	
P02	14:13:37.356	175	363	1	0	1	0	0	0	1	
P02	14:13:38.266	176	250	1	0	0	0	0	0	0	
P02	14:13:38.550	177	153	1	0	1	0	0	0	1	
P02	14:13:38.740	178	487	1	0	0	0	0	0	0	
P03	15:22:24.320	1	303	1	0	0	0	0	0	0	
P03	15:22:24.523	2	80	1	1	0	0	0	0	0	
P03	15:22:24.706	3	290	1	1	0	0	0	0	0	
P03	15:22:25.023	4	70	1	1	0	0	0	0	0	
P03	15:22:25.119	5	133	1	0	0	0	0	0	0	
P03	15:22:25.366	6	130	1	0	0	0	0	0	0	
P03	15:22:25.516	7	190	1	0	0	0	0	0	0	
P03	15:22:25.733	8	180	1	0	0	0	0	0	0	
P03	15:22:25.936	9	173	1	0	0	0	0	0	0	
P03	15:22:26.296	10	70	1	0	0	0	0	0	0	
P03	15:22:26.389	11	150	1	0	0	0	0	0	0	
P03	15:22:26.566	12	160	1	0	0	0	0	0	0	
P03	15:22:26.746	13	230	1	0	0	0	0	0	0	
P03	15:22:27.009	14	183	1	0	0	0	0	0	0	
P03	15:22:27.213	15	170	1	0	0	0	0	0	0	
P03	15:22:27.412	16	200	1	0	0	0	0	0	0	
P03	15:22:27.632	17	180	1	0	0	0	0	0	0	
P03	15:22:27.846	18	210	1	0	0	0	0	0	0	
P03	15:22:28.082	19	100	1	0	0	0	0	0	0	
P03	15:22:28.302	20	110	1	0	0	1	0	0	0	
P03	15:22:28.459	21	190	1	0	1	0	0	0	1	
P03	15:22:28.669	22	513	1	0	1	0	0	0	1	
P03	15:22:29.232	23	180	1	0	0	1	0	0	0	
P03	15:22:29.432	24	453	1	0	0	1	0	0	0	
P03	15:22:29.899	25	243	1	0	0	1	0	0	0	
P03	15:22:30.152	26	457	1	0	0	1	0	0	0	
P03	15:22:30.625	27	263	1	0	0	1	0	0	0	
P03	15:22:30.942	28	1550	1	0	1	0	0	0	1	
P03	15:22:32.525	29	220	1	0	1	0	0	0	1	
P03	15:22:32.772	30	457	1	0	1	0	0	0	1	
P03	15:22:33.255	31	333	1	0	1	0	0	0	1	
P03	15:22:33.652	32	197	1	1	0	0	0	0	0	
P03	15:22:33.908	33	513	1	0	0	0	0	0	0	
P03	15:22:34.628	34	93	1	0	1	0	0	1	0	
P03	15:22:34.748	35	240	1	0	1	0	0	1	0	
P03	15:22:35.005	36	450	1	0	1	0	0	1	0	
P03	15:22:35.481	37	330	1	0	1	0	0	1	0	
P03	15:22:35.841	38	143	1	0	1	0	1	0	0	
P03	15:22:36.055	39	73	1	0	1	0	0	0	0	
P03	15:22:36.168	40	413	1	0	0	0	0	0	0	
P03	15:22:36.608	41	407	1	0	1	0	0	0	0	
P04	09:34:34.096	1	343	1	0	0	0	0	0	0	
P04	09:34:34.352	2	270	1	0	0	0	0	0	0	
P04	09:34:34.645	3	250	1	1	0	0	0	0	0	
P04	09:34:34.925	4	243	1	0	0	0	0	0	0	
P04	09:34:35.189	5	153	1	0	0	0	0	0	0	
P04	09:34:35.375	6	77	1	0	0	0	0	0	0	
P04	09:34:35.609	7	140	1	0	0	0	0	0	0	
P04	09:34:35.772	8	197	1	0	0	0	0	0	0	
P04	09:34:35.999	9	247	1	0	0	0	0	0	0	
P04	09:34:36.269	10	270	1	0	0	0	0	0	0	
P04	09:34:36.562	11	280	1	0	0	0	0	0	0	
P04	09:34:36.868	12	400	1	0	0	0	0	0	0	
P04	09:34:37.295	13	440	1	0	0	0	0	0	0	
P04	09:34:37.772	14	393	1	0	0	0	0	0	0	
P04	09:34:38.192	15	207	1	0	0	0	0	0	0	
P04	09:34:38.425	16	310	1	0	0	0	0	0	0	
P04	09:34:38.765	17	300	1	0	0	0	0	0	0	
P04	09:34:39.112	18	337	1	0	0	0	0	0	0	
P04	09:34:39.475	19	87	1	0	0	0	0	0	0	
P04	09:34:39.745	20	147	1	0	0	0	0	0	0	
P04	09:34:39.918	21	277	1	0	0	0	0	0	0	
P04	09:34:40.255	22	147	1	0	0	0	0	0	0	
P04	09:34:40.448	23	303	1	1	0	0	0	0	0	
P04	09:34:40.885	24	187	1	0	0	1	0	0	0	
P04	09:34:41.088	25	170	1	0	0	1	0	0	0	
P04	09:34:41.311	26	350	1	0	1	0	0	0	1	
P04	09:34:41.685	27	173	1	0	1	0	0	0	1	
P04	09:34:41.914	28	293	1	0	0	1	0	0	0	
P04	09:34:42.221	29	307	1	0	0	1	0	0	0	
P04	09:34:42.541	30	507	1	0	0	1	0	0	0	
P04	09:34:43.064	31	207	1	0	0	1	0	0	0	
P04	09:34:43.328	32	207	1	1	0	0	0	0	0	
P04	09:34:43.544	33	137	1	0	0	0	0	0	0	
P04	09:34:43.708	34	230	1	0	0	0	0	0	0	
P04	09:34:43.987	35	113	1	0	0	1	0	0	0	
P04	09:34:44.118	36	923	1	0	0	1	0	0	0	
P04	09:34:45.101	37	167	1	0	0	0	0	0	0	
P04	09:34:45.467	38	163	1	0	0	0	0	0	0	
P04	09:34:45.854	39	143	1	0	0	0	0	0	0	
P04	09:34:46.024	40	117	1	0	0	1	0	0	0	
P04	09:34:46.161	41	310	1	0	0	1	0	0	0	
P04	09:34:46.491	42	200	1	0	0	1	0	0	0	
P04	09:34:46.707	43	227	1	0	0	1	0	0	0	
P04	09:34:46.984	44	213	1	0	1	0	0	0	1	
P04	09:34:47.217	45	473	1	0	1	0	0	0	1	
P04	09:34:47.720	46	290	1	0	1	0	0	0	1	
