ParticipantName	FixationIndex	AOI[title]Hit	AOI[legend]Hit	AOI[window]Hit	AOI[graph]Hit	AOI[Q1]Hit	AOI[Q2]Hit	AOI[Q3]Hit	
P04	85	0	0	1	1	1	0	0	
P04	86	0	0	1	1	0	0	0	
P04	87	0	0	1	0	0	0	0	
P04	88	1	0	1	0	0	0	0	
P04	89	1	0	1	0	0	0	0	
P04	90	1	0	1	0	0	0	0	
P04	91	1	0	1	0	0	0	0	
P04	92	1	0	1	0	0	0	0	
P04	93	0	0	1	1	1	0	0	
P04	94	0	0	1	1	0	0	0	
P04	95	1	0	1	0	0	0	0	
P04	96	1	0	1	0	0	0	0	
P04	97	0	0	1	1	0	0	0	
P04	98	0	0	1	1	0	0	0	
P04	99	0	0	1	1	1	0	0	
P04	100	0	0	1	1	1	0	0	
P04	101	0	0	1	1	0	0	0	
P04	102	1	0	1	0	0	0	0	
P04	103	0	0	1	1	0	0	0	
P04	104	0	0	1	1	0	0	1	
P04	105	0	0	1	1	0	0	0	
P04	106	1	0	1	0	0	0	0	
P04	107	0	0	1	0	0	0	0	
P04	108	1	0	1	0	0	0	0	
P05	1	1	0	1	0	0	0	0	
P05	2	1	0	1	0	0	0	0	
P05	3	1	0	1	0	0	0	0	
P05	4	1	0	1	0	0	0	0	
P05	5	1	0	1	0	0	0	0	
P05	6	1	0	1	0	0	0	0	
P05	7	1	0	1	0	0	0	0	
P05	8	1	0	1	0	0	0	0	
P05	9	1	0	1	0	0	0	0	
P05	10	1	0	1	0	0	0	0	
P05	11	1	0	1	0	0	0	0	
P05	12	1	0	1	0	0	0	0	
P05	13	1	0	1	0	0	0	0	
P05	14	1	0	1	0	0	0	0	
P05	15	1	0	1	0	0	0	0	
P05	16	1	0	1	0	0	0	0	
P05	17	1	0	1	0	0	0	0	
P05	18	1	0	1	0	0	0	0	
P05	19	1	0	1	0	0	0	0	
P05	20	1	0	1	0	0	0	0	
P05	21	1	0	1	0	0	0	0	
P05	22	0	0	1	1	1	0	0	
P05	23	0	1	1	0	0	0	0	
P05	24	0	1	1	0	0	0	0	
P05	25	0	1	1	0	0	0	0	
P05	26	0	1	1	0	0	0	0	
P05	27	0	1	1	0	0	0	0	
P05	28	0	1	1	0	0	0	0	
P05	29	0	0	1	1	1	0	0	
P05	30	0	0	1	1	1	0	0	
P05	31	0	1	1	0	0	0	0	
P05	32	0	1	1	0	0	0	0	
P05	33	0	0	1	1	1	0	0	
P05	34	0	1	1	0	0	0	0	
P05	35	0	1	1	0	0	0	0	
P05	36	0	1	1	0	0	0	0	
P05	37	0	0	1	1	1	0	0	
P05	38	0	0	1	1	1	0	0	
P05	39	0	1	1	0	0	0	0	
P05	40	0	1	1	0	0	0	0	
P05	41	0	0	1	1	0	0	0	
P05	42	1	0	1	0	0	0	0	
P05	43	0	0	1	1	0	0	0	
P05	44	0	0	1	1	0	0	1	
P05	45	0	1	1	0	0	0	0	
P05	46	0	1	1	0	0	0	0	
P05	47	1	0	1	0	0	0	0	
P05	48	1	0	1	0	0	0	0	
P05	49	0	0	1	1	1	0	0	
