ParticipantName	FixationIndex	AOI[window]Hit	AOI[title]Hit	AOI[legend]Hit	AOI[Q1]Hit	AOI[Q3]Hit	AOI[Q2]Hit	AOI[graph]Hit	
P05	84	1	0	0	0	0	1	1	
P05	85	1	0	0	0	0	0	1	
P05	86	1	0	0	0	0	0	1	
P05	87	1	0	0	0	0	0	1	
P05	88	1	0	0	0	0	0	1	
P05	89	1	0	0	0	0	0	1	
P05	90	1	0	0	0	0	0	1	
P05	91	1	0	0	0	0	0	0	
P05	92	1	0	0	1	0	0	1	
P05	93	1	0	0	0	1	0	1	
P05	94	1	0	0	0	1	0	1	
P05	95	1	0	0	0	0	0	1	
P05	96	1	0	0	0	0	0	1	
P05	97	1	0	0	0	1	0	1	
P05	98	1	0	0	0	1	0	1	
P05	99	1	0	0	0	1	0	1	
P05	100	1	0	0	0	1	0	1	
P05	101	1	0	0	0	1	0	1	
P05	102	1	0	0	0	1	0	1	
P05	103	1	0	0	0	0	1	1	
P05	104	1	0	0	0	0	0	1	
P05	105	1	0	0	0	0	0	1	
P05	106	1	0	0	0	0	1	1	
P05	107	1	0	0	0	0	1	1	
P06	1	1	0	0	0	0	0	1	
P06	2	1	0	0	0	0	0	1	
P06	3	1	0	0	0	0	0	0	
P06	4	1	0	0	0	0	0	0	
P06	5	1	0	0	0	0	0	1	
P06	6	1	0	0	0	0	0	0	
P06	7	1	0	0	0	0	0	0	
P06	8	1	0	0	0	0	0	1	
P06	9	1	0	0	0	0	0	1	
P06	10	1	0	0	0	0	0	1	
P06	11	1	0	0	0	1	0	1	
P06	12	1	0	0	0	1	0	1	
P06	13	1	0	0	0	1	0	1	
P06	14	1	0	0	1	0	0	1	
P06	15	1	0	0	1	0	0	1	
P06	16	1	0	0	0	0	0	1	
P06	17	1	0	0	1	0	0	1	
P06	18	1	0	0	0	0	0	1	
P06	19	1	0	0	0	1	0	1	
P06	20	1	0	0	0	1	0	1	
P06	21	1	0	0	0	1	0	1	
P06	22	1	0	0	0	1	0	1	
P06	23	1	0	0	0	0	0	1	
P06	24	1	0	0	1	0	0	1	
P06	25	1	0	0	0	0	0	1	
P06	26	1	0	0	0	1	0	1	
P06	27	1	0	0	0	1	0	1	
P06	28	1	0	0	0	1	0	1	
P06	29	1	0	0	0	0	0	1	
P06	30	1	0	0	0	0	0	1	
P06	31	1	0	0	0	1	0	1	
P06	32	1	0	0	0	1	0	1	
P06	33	1	0	0	0	1	0	1	
P06	34	1	0	0	0	1	0	1	
P06	35	1	0	0	0	0	1	1	
P06	36	1	0	0	1	0	0	1	
P06	37	1	0	0	1	0	0	1	
P06	38	1	0	0	0	1	0	1	
P06	39	1	0	0	0	1	0	1	
P06	40	1	0	0	0	0	0	1	
P06	41	1	0	0	0	0	0	1	
P06	42	1	0	0	0	1	0	1	
P06	43	1	0	0	0	1	0	1	
P06	44	1	0	0	0	0	1	1	
P06	45	1	0	0	0	0	1	1	
P06	46	1	0	0	0	0	1	1	
P06	47	1	0	0	1	0	0	1	
P06	48	1	0	0	0	0	0	1	
P06	49	1	0	0	1	0	0	1	
P06	50	1	0	0	0	1	0	1	
P06	51	1	0	0	0	1	0	1	
P06	52	1	0	0	0	0	0	1	
P06	53	1	0	0	0	0	0	0	
P06	54	1	0	0	0	0	0	0	
P06	55	1	0	0	0	0	0	1	
P06	56	1	0	0	0	0	0	1	
P06	57	1	0	0	0	1	0	1	
P06	58	1	0	0	0	1	0	1	
P06	59	1	0	0	0	1	0	1	
P06	60	1	0	0	0	0	1	1	
P06	61	1	0	0	0	0	1	1	
P06	62	1	0	0	0	0	1	1	
P06	63	1	0	0	0	0	0	1	
P06	64	1	0	0	0	0	0	1	
P06	65	1	0	0	0	0	0	1	
P06	66	1	0	0	0	0	0	1	
P06	67	1	0	0	0	0	0	1	
P06	68	1	0	0	0	0	0	1	
P06	69	1	0	0	0	0	0	1	
P06	70	1	0	0	0	0	1	1	
P06	71	1	0	0	0	0	1	1	
P06	72	1	0	0	1	0	0	1	
P06	73	1	0	0	1	0	0	1	
P06	74	1	0	0	0	0	0	1	
P06	75	1	0	0	0	0	1	1	
P06	76	1	0	0	1	0	0	1	
P06	77	1	0	0	0	1	0	1	
P06	78	1	0	0	0	1	0	1	
P06	79	1	0	0	0	1	0	1	
P06	80	1	0	0	0	1	0	1	
P06	81	1	0	0	0	0	0	1	
P06	82	1	0	0	0	0	1	1	
P06	83	1	0	0	1	0	0	1	
P06	84	1	0	0	0	0	1	1	
P06	85	1	0	0	0	0	1	1	
P06	86	1	0	0	0	1	0	1	
P06	87	1	0	0	0	1	0	1	
P06	88	1	0	0	0	1	0	1	
P06	89	1	0	0	0	0	0	1	
P06	90	1	0	0	0	0	0	0	
P07	1	1	0	0	0	0	1	1	
P07	2	1	0	0	0	0	1	1	
P07	3	1	0	0	0	0	0	1	
P07	4	1	0	0	0	0	0	0	
P07	5	1	0	0	0	0	0	0	
P07	6	1	0	0	0	0	0	0	
P07	7	1	0	0	0	0	0	0	
P07	8	1	0	0	0	0	0	1	
P07	9	1	0	0	0	0	0	1	
P07	10	1	0	0	0	0	0	1	
P07	11	1	0	0	0	0	0	1	
P07	12	1	0	0	0	0	0	1	
P07	13	1	0	0	0	0	0	1	
P07	14	1	0	0	0	1	0	1	
P07	15	1	0	0	0	1	0	1	
P07	16	1	0	0	0	0	0	1	
P07	17	1	0	0	0	0	0	1	
P07	18	1	0	0	0	0	0	1	
P07	19	1	0	0	0	0	0	1	
P07	20	1	0	0	0	1	0	1	
P07	21	1	0	0	0	1	0	1	
P07	22	1	0	0	0	0	0	1	
P07	23	1	0	0	1	0	0	1	
P07	24	1	0	0	1	0	0	1	
P07	25	1	0	0	1	0	0	1	
P07	26	1	0	0	0	0	0	1	
P07	27	1	0	0	0	0	0	1	
P07	28	1	0	0	0	0	0	1	
P07	29	1	0	0	0	0	0	1	
P07	30	1	0	0	0	1	0	1	
P07	31	1	0	0	0	1	0	1	
P07	32	1	0	0	0	0	0	1	
P07	33	1	0	0	0	0	0	1	
P07	34	1	0	0	0	0	1	1	
P07	35	1	0	0	0	0	1	1	
P08	1	1	0	0	0	0	0	1	
P08	2	1	0	0	0	0	0	0	
P08	3	1	1	0	0	0	0	0	
P08	4	1	1	0	0	0	0	0	
P08	5	1	1	0	0	0	0	0	
P08	6	1	1	0	0	0	0	0	
P08	7	1	1	0	0	0	0	0	
P08	8	1	1	0	0	0	0	0	
P08	9	1	1	0	0	0	0	0	
P08	10	1	1	0	0	0	0	0	
P08	11	1	1	0	0	0	0	0	
P08	12	1	1	0	0	0	0	0	
P08	13	1	0	0	0	1	0	1	
P08	14	1	0	0	0	0	0	1	
P08	15	1	0	0	0	0	0	1	
P08	16	1	0	0	0	0	0	1	
P08	17	1	0	1	0	0	0	0	
P08	18	1	0	1	0	0	0	0	
P08	19	1	0	0	0	1	0	1	
P08	20	1	0	0	0	1	0	1	
P08	21	1	0	0	0	1	0	1	
P08	22	1	0	0	1	0	0	1	
P08	23	1	0	0	1	0	0	1	
P08	24	1	0	0	0	1	0	1	
P08	25	0	1	0	0	0	0	0	
P08	26	1	1	0	0	0	0	0	
P08	27	1	1	0	0	0	0	0	
P08	28	1	1	0	0	0	0	0	
P08	29	1	0	0	1	0	0	1	
P08	30	1	0	0	0	1	0	1	
P08	31	1	1	0	0	0	0	0	
P08	32	1	1	0	0	0	0	0	
P09	1	1	0	0	0	1	0	1	
P09	2	1	0	0	0	1	0	1	
P09	3	1	0	0	0	1	0	1	
P09	4	1	0	0	1	0	0	1	
P09	5	1	0	0	0	0	0	0	
P09	6	1	0	0	0	0	0	1	
P09	7	1	0	0	0	0	0	0	
P09	8	1	0	0	0	0	0	1	
P09	9	1	0	0	0	0	0	1	
P09	10	1	0	0	0	0	0	1	
P09	11	1	0	0	0	0	0	1	
P09	12	1	0	0	0	1	0	1	
P09	13	1	0	1	0	0	0	0	
P09	14	1	0	0	0	0	0	0	
P09	15	1	0	0	0	0	0	0	
P09	16	1	0	0	0	0	0	0	
P09	17	1	0	0	0	1	0	1	
P09	18	1	0	0	0	1	0	1	
P09	19	1	0	0	0	0	0	1	
P09	20	1	0	0	0	0	0	1	
P09	21	1	0	0	0	0	0	1	
P09	22	1	0	0	0	0	0	1	
P09	23	1	0	0	0	0	0	1	
P09	24	1	0	0	0	0	0	1	
P09	25	1	0	0	0	0	0	1	
